Hours_Studied,Attendance,Previous_Grades,Pass
7,96,90,1
4,84,56,1
8,63,47,1
5,66,74,1
7,85,74,1
10,99,72,1
3,89,98,1
7,53,44,0
8,51,81,1
5,55,78,1
4,91,97,1
8,53,80,1
8,78,67,1
3,67,46,0
6,75,48,1
5,93,47,1
2,83,51,0
8,59,73,1
6,85,72,1
2,63,87,0
5,80,94,1
1,97,62,0
10,64,63,1
6,57,76,1
9,63,74,1
1,72,83,0
10,89,79,1
3,70,61,0
7,65,66,1
4,94,74,1
9,67,40,1
3,96,74,1
5,73,76,1
3,75,86,1
7,74,53,1
5,94,42,1
9,90,40,1
7,78,44,1
2,64,65,0
4,94,94,1
9,50,53,1
2,74,78,0
10,56,66,1
9,58,48,1
10,73,54,1
5,50,54,0
2,93,65,0
4,57,81,0
7,73,99,1
8,60,52,1
